RecallNo,y2k,Manufacturer,Type,Prname,Seqid,Hazard,Country_mfg,Recdate
01137,101137,,,Evenflo Travel Tandem,1283,,,
98025,98025,,,Expert Diamondback mountain bike chains,637,,,
99076,99076,,Vitamins & Supplements,Extra Strength Rooster Kings dietary supplements,6985,Poisoning,,1999-03-10
99012,99012,,,Extreme Machine Fisher-Price Power Wheels ride-on cars/trucks,705,,,
93035,93035,,,Farm Animals Fuzzy Puzzles toys,1377,,,
05239,105239,,,"Felt F55 and F2C, Fetish Cycles Road/Mountain Bikes, Argon 18 bicycles",48,,,
83062,83062,,,Fence Climber playground equipment,1146,,,
09338,109338,,Costume/Children's Jewelry,"Final Fantasy, Bleach, Mickey Mouse Kingdom of Hearts, Naruto Pendants",12112,,,
01139,101139,,,Fire Plug Pocket Torch cigarette lighters,1285,,,
99012,99012,,,Fire Truck Fisher-Price Power Wheels battery-powered ride-on cars/trucks,706,,,
84018,84018,,Fireplace Water Heaters,Fireplace-powered water heaters,1000,Explosion/Projectiles,,1984-03-23
99012,99012,,,Firetruck Fisher-Price Power Wheels battery-powered ride-on cars/trucks,678,,,
98074,98074,,,Fisher-Price Magic Motion Mobile crib mobiles,1397,Choking,,1998-03-02
01210,101210,,,Fisher-Price Sit & Soothe Portable Bassinet,3913,,,
01210,101210,,,Fisher-Price Soothing Sounds Bassinet,3914,,,
89034,89034,,,Five Game Combination Sets,240,Laceration,,1989-04-27
02207,102207,,,Flat Rock Grill Shoreline BBQ-1 Pit Gas Grill,6323,,,
99127,99127,,Dive Sticks (see Swimming Pool Items),Florida Pool dive sticks,1951,,,
76013,76013,,,Floridian nylon shag pile carpets,3796,,,
99012,99012,,,Ford F-150 Fisher-Price Power Wheels battery-powered ride-on cars/trucks,702,,,
92065,92065,,,Fort Apache swing sets,1373,,,
96141,96141,,,Forte metal frame funiture,558,Collapse,,1996-06-05
88109,88109,,,Franklin Five Game Combination Sets,1359,,,
89014,89014,,,Franklin Mike Schmidt Batting Tee with Return Ball Trainer,234,Laceration,,1989-02-09
89014,89014,,,Franklin Mike Schmidt Complete Teeball Set,235,,,
00022,100022,,,Franklin Slam Dunk Youth Basketball Sets,2151,,,
88109,88109,,,Franklin Three Game Combination Sets,1360,,,
03154,103154,,,Franzus Auto Adjust Smart Converter Adapter Set,6835,,,
90047,90047,,,Fritz Dog stuffed animal toys,269,,,
88051,88051,,,Frog plastic wind-up water toys,546,,,
05239,105239,,,"Fuji Team Super Lite, Orbea Aletta, Onix, Lobular 50, Dama Race bicycles",47,,,
90151,90151,,,Fun Time Baby Bottle toys,285,Choking,,1990-09-06
88114,88114,,,Funny Action small wind-up toys,6009,,,
01221,101221,,,Funny Loco Wind-Up Train,1430,,,
95163,95163,,,Fuzz & Fur childrens' books,502,,,
08226,108226,,,"Galison Chocolate Dots Perpetual Calendars; Mudpuppy Camp Fun, My Travel Journals",10339,,,
08226,108226,,,"Galison Next Great Idea, Hiroshige Waves, Nature’s Cabinet Butterflies, Chinese Peony List/Prose Journals",10337,,,
08226,108226,,,"Galison Toffee Dots, Toffee Stripes, William Morris Clover, Porch Florals List/Prose Journals",10338,,,
02070,102070,,,Game Tracker Strap-on Tree Steps,6390,,,
99177,99177,,,Garden Way Shredder engines,3737,,,
02104,102104,,,Gearbox Champion Pedal Cars,6399,,,
02104,102104,,,Gearbox Chicago Police Pedal Cars,6412,,,
02104,102104,,,Gearbox Emergency 911 Pedal Cars,6414,,,
02104,102104,,,Gearbox Fire Truck Pedal Cars,6403,,,
02104,102104,,,Gearbox Highway Patrol Pedal Cars,6413,,,
02104,102104,,,Gearbox John Deere Pedal Cars,6401,,,
02104,102104,,,Gearbox NYPD Pedal Cars,6411,,,
02104,102104,,,Gearbox Raley's Keebler Pedal Cars,6394,,,
02104,102104,,,Gearbox Red Lion Pedal Cars,6395,,,
02104,102104,,,Gearbox Texaco Pedal Cars,6402,,,
88018,88018,,,General Electric (GE) Computer Protector,335,,,
88018,88018,,,General Electric (GE) Electronic Protection Center Surge & Noise Suppressor,333,,,
01141,101141,,,Genesis Athena scuba buoyancy compensator devices (BCDs),3855,,,
01141,101141,,,Genesis Phantom scuba buoyancy compensator devices (BCDs),3856,,,
01141,101141,,,Genesis ReCon scuba buoyancy compensator devices (BCDs),3858,,,
01141,101141,,,Genesis Talon scuba buoyancy compensator devices (BCDs),3859,,,
